HIB,INL,44,156,637
ACT,DFW,44,139,3079
CSG,ATL,43,125,2119
BRW,FAI,81,312,322
BRW,SCC,48,175,813
MQT,DTW,89,276,35
PNS,IAH,98,289,2770
PIH,SLC,51,238,1302
OAJ,ATL,85,397,2238
GUM,HNL,442,1448,662
FAT,SAN,70,195,388
OGG,ITO,39,154,1334
OGG,KOA,35,138,1671
APN,DTW,64,200,1095
DAB,ATL,79,201,2965
CDC,SLC,58,167,1142
EWR,PHL,61,185,2
EWR,AVP,49,144,103
EWR,DCA,73,192,2761
EWR,ROC,75,198,1406
EWR,SYR,72,198,971
ISN,MSP,109,389,2108
TVC,DTW,62,205,1505
CMH,BNA,70,186,1245
CMH,MDW,66,201,3566
PBI,MIA,49,159,1
MEM,DAL,80,257,922
SMF,SFO,50,198,3079
SMF,SNA,80,202,4226
ESC,DTW,75,309,1105
IAH,MLU,69,177,1544
IAH,LCH,48,123,2110
IAH,CLL,42,131,1364
IAH,CRP,62,156,4165
IAH,LFT,62,166,4227
IAH,DFW,69,181,7741
IAH,SAT,60,181,4552
IAH,HRL,71,189,2344
IAH,BTR,68,198,4539
IAH,MFE,75,228,3782
IAH,JAN,80,258,3788
IAH,LRD,74,265,1794
IAH,HOB,99,387,1086
OME,OTZ,45,159,310
OMA,MSP,72,219,2543
MFR,SFO,80,322,2529
CMI,ORD,56,268,3354
DBQ,ORD,56,263,1736
ADQ,ANC,55,161,874
EWN,ATL,88,417,1129
YUM,PHX,57,149,3710
PWM,JFK,74,201,2281
HSV,ATL,54,267,4886
GSO,IAD,68,201,120
GSO,ATL,75,202,5301
CIU,DTW,76,361,1192
WRG,PSG,24,89,651
WRG,KTN,37,105,650
LIH,SFO,316,804,856
LIH,HNL,38,151,11695
CID,MSN,49,186,1
CID,MSP,70,202,1386
ALB,BWI,70,236,3319
OAK,BUR,65,169,7249
OAK,ONT,70,177,4246
OAK,BOI,90,229,1314
DIK,DEN,100,437,655
FLL,TPA,56,165,3802
FLL,JAX,73,333,1447
FLL,STT,164,412,612
CHO,LGA,82,338,709
STX,SJU,38,117,665
MLU,ATL,92,233,2370
FCA,MSO,54,168,1
ATW,MSP,68,273,1023
BGR,DTW,125,341,621
CNY,SLC,54,137,410
PIT,DTW,62,202,1054
PIT,BWI,59,170,1872
PIT,CLT,86,215,4845
PIT,IAD,63,218,427
ILG,MCO,141,465,122
SAT,DAL,59,175,6011
SAT,ELP,83,219,1587
SAT,MSY,85,226,475
MOB,ATL,74,185,4465
LBB,DFW,70,184,1338
LBB,DEN,93,278,1172
BQK,ATL,65,307,1737
PIA,ORD,55,170,4142
ITH,DTW,87,360,61
FAY,ATL,78,321,3229
BLI,SEA,46,223,493
RDU,BWI,63,222,3820
RDU,PHF,50,155,1
IAG,MYR,110,329,230
MHT,LGA,75,289,242
ICT,DAL,70,175,1176
EUG,SFO,93,233,3626
BMI,ORD,52,210,1796
BGM,DTW,83,330,517
MSN,ORD,54,193,6013
VLD,ATL,62,192,1846
TXK,DFW,58,255,1833
MRY,SFO,42,191,1503
JAC,SLC,58,260,1886
SDF,MDW,66,165,2259
MTJ,DEN,60,295,886
SMX,LAX,58,206,493
ROA,IAD,68,304,10
GEG,BOI,59,172,1159
GRR,DTW,52,177,2726
AZO,ORD,53,150,2495
SAN,PHX,69,190,10130
SAN,LAX,52,200,9077
ONT,PHX,69,209,5921
INL,MSP,69,176,482
INL,BRD,59,203,4
ILM,CLT,60,219,323
RKS,SLC,54,165,58
CAK,DTW,55,160,377
AGS,ATL,54,139,4689
UST,IAD,116,418,6
JLN,DFW,80,397,1269
VEL,SLC,45,208,397
BET,ANC,72,342,1759
MYR,CLT,59,227,12
MYR,CRW,70,214,128
MYR,ACY,82,224,650
MYR,LBE,85,382,386
MYR,PBG,129,424,101
AMA,DFW,72,189,2240
PAH,ORD,85,366,1246
GTR,ATL,67,289,1824
TUL,DAL,57,155,1852
SBN,ORD,49,177,2186
SBN,DTW,59,161,2571
IAD,TTN,105,282,1
ABI,DFW,52,137,4455
LAS,ABQ,85,230,2517
LAS,BUR,59,148,6080
LAS,RNO,72,184,6383
TYR,DFW,50,203,3067
CVG,ORD,77,198,7730
CVG,STL,75,191,97
CHA,ATL,47,164,5401
DFW,LAW,51,152,2474
DFW,SPS,49,155,2340
DFW,FSM,64,180,2491
DFW,GGG,55,191,1229
DFW,SHV,62,195,4363
DFW,XNA,73,197,4280
DFW,SJT,60,211,3103
DFW,GRK,51,223,5003
DFW,AEX,72,238,1882
DFW,ROW,90,284,1831
DFW,GCK,86,299,1272
DFW,GRI,106,308,1218
DFW,BPT,74,319,1820
DFW,MHK,90,329,1898
DFW,MEI,98,332,892
DFW,BRO,97,343,2005
ORF,BWI,53,191,2244
HPN,DCA,69,331,6
ACV,SFO,72,327,2535
RSW,BNA,118,297,201
HOU,CRP,49,147,2468
HOU,AUS,48,166,2585
HOU,MAF,80,233,2200
RDD,SFO,65,260,1412
COU,ORD,78,326,1236
SAV,ATL,63,216,6248
MGM,ATL,54,163,4370
ABY,ATL,52,181,1730
CAE,ATL,60,180,5347
PHL,BWI,56,181,14
PHL,PVD,71,183,564
PHL,RIC,63,193,12
DRO,DEN,68,242,1114
LAX,SBP,63,172,2688
LAX,CLD,46,200,1254
